NOMBRE,PRECIO,DISPONIBILIDAD,IMAGEN,SUBCATEGORIA,SKU
Auriculares para niÃ±os Disney,C$800,4,,AURICULARES,
Auriculares Redmi Buds 6 Active,C$930,1,,AURICULARES,
"Auriculares Redmi Buds 8 Lite,""C$1,250"",1,,AURICULARES,"
"Auriculares Samsung Buds Core,""C$2,350"",1,https://lh3.googleusercontent.com/pw/AP1GczOgpMHqotty4BTXAkhmBUzIMXHFbtehpw-zhJv0IcA2pDl984tkjfwy4dFoTPinO9A7Uj6oDxlr3vXflAwoBiCmr_kQ4lx5IP1zMk9ltIMtpU3MlxVmxbCKm4d3V2Yb5nJIsuIsmdtPt-zqcOAXb7cN=w882-h882-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczMKJfjXLUH-kcZj7cu5Tl0GJVk0_iHbSz8VKe2Y_kTIlKS7yJDSjV3yTBLv5pdmAWKjEiGJbtl-HkRXqINmtocSgwXyfzDIL0IgbzU0yaj5m3ane3NU4hMiALXTfAzrAzl31Z9gSKGtiYi8jIjKKcK6=w662-h882-s-no-gm?authuser=0,AURICULARES,"
Auriculares Samsung Original,C$150,9,,AURICULARES,
"Bateria Portatil Celebrat 10000mah,""C$1,200"",0,,BATERIAS PORTÃTILES,"
"Bateria Portatil Celebrat 20000mah,""C$1,350"",0,,BATERIAS PORTÃTILES,"
"Bateria Portatil Xiaomi,""C$1,550"",1,https://lh3.googleusercontent.com/pw/AP1GczMDkUkAe4Qq2k__VaWsOWXsKf7ziCZmZ56sZeYG_R1u9zmF-Ji4b8ZBXqCyL8bItlgGIRM2NgD7MOsUIXEvtaqEQnJBEDD_lIhTTiWVJHaiPS09WyuGfrce3hOw9gIs5R0erj2KHiYMz-XQCbPCmGEn=w708-h882-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczMKUJ_xFxPaQBvbZXDbD6zgxeHrejfnILb9TDOR7ZbpdOY28b53pl5ks5nO1mOuNHiv2j5mrpSd6N9tKQlO7pQ5AFdUnM7-V_YWEfxKE4Qsmj4w_lMWFl8Cvff20yMvPdTn_MsysHx_asrTDlgQWFbW=w690-h882-s-no-gm?authuser=0,BATERIAS PORTÃTILES,"
"Blu G63 128GB 4RAM,""C$3,890"",1,https://lh3.googleusercontent.com/pw/AP1GczPVChbqS7aph3PvrD9HPqXsqb-np29Kn9CiAQTT0adxt5p_xDUsO0u4_o0ggPOcBjPkey_RzDNQ27MN4POFdXnyThntRbksTZFUgpkbbnyFxPGZcJDpQB9gfA_BfCVDeHwynXe0m1yrztggKQr0-IXg=w662-h882-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczP5cPAOrAzyu7Lw9wLBp_UOV4OlHEU6NYKfLkj4-sdBeHEgstmQZJPHiuOpWVa4yorUHioqhoMfHmfJtg3q4QQ7Xx36peNG5Ti9YEXP9zr0aa8YiWMLV_WuR6zjaFdXQYUDxY7IJCxmrHPmfypDPJ4_=w662-h882-s-no-gm?authuser=0,BLU,"
"Blu Tank Mega,""C$1,490"",1,https://lh3.googleusercontent.com/pw/AP1GczMGC1YgJMHA_VADkx6bIJbwICGhJASLUkF7K2e1ej5TNS-bgYk0Se-Xeh8JVDRARVzm3bZnpteeLnwDLEq3Ch9kLFbwJRg48o7btIt9SzSn4ds7jK-BHywuTcA95Ssx4MDnD_1_QyGhFjTlPaYtlUCX=w662-h882-s-no-gm?authuser=0|https://lh3.googleusercontent.com/pw/AP1GczOtLd0q2W0D4XgleU_1V_g7gX_ZapwLOws8zuZT2_duQumFMCRV3-g6Mz3YUXb5st94Q3lwfz-23ImcMS3oN6JXyh3TChdKMpaC-b2UUrOX_R-FR9PRTNDT5GuKc1MoUfefSRbrMBvzQsitzU0oVeT0=w662-h882-s-no-gm?authuser=0,BLU,"
