CATEGORIA,SKU,MODELO,NOMBRE,IMAGEN,EXHIBIDO
Celulares,Echo dot,EchoDot,Alexa Echo Dot,https://lh3.googleusercontent.com/pw/AP1GczOKbICcXbg7ifxwy4t90aNMbUNrR6YZibfs4LAux_jQzGAuee5AldnBUUZrKZxiKBNM-6LCXoWY_DXpgWlFssCXOHLg29myC4BIS_W1h1tllxpVKWKHwvDDatlEgjOOEPJuO-2naycKunCNW63EkD2p=w1194-h672-s-no-gm|https://lh3.googleusercontent.com/pw/AP1GczMKQNeCtilgyDn7ZWMbvxznmDP0UhVxapmQSXhr_p8L046ntuXmC_AHd3g3DQaG-fS7tojC22XD_yq0Xy10YLeME8mq8lQmn5lhFa0kx0abzithZMt4yCYDsoeadHeyjt3PnsgxJ0MZ762_DCrwIYSw=w882-h882-s-no-gm|https://lh3.googleusercontent.com/pw/AP1GczO718go7oDbt6sMy7FvbRsM9rNlu59Sb7gKuRgvIEhHiWdVU1Rt1dsMnM2SRUhlXrd_gDVxzxZfq3CE5nhxnpyqYsWOnbSosB0IU6GWm3KeeY7k2Kb9JpLjG2xY3W8xcIDPy0Qf6PIkgSzZvZSYxTXw=w552-h882-s-no-gm,1
Celulares,Echo Pop,EchoPop,Alexa Echo Pop,https://lh3.googleusercontent.com/pw/AP1GczPj2Sx4IYeywTUuPa16dhxx9uCdIFy-LVgI1S4bcT-wXwAHSZJ2VNMl6pvIJ8WMup-Y5SqHueL7fo7hUIGgNXh45wm9SPLFpWHKrJNNouTJ5P7Ip4zz0PQR0Oy5zJPPw-GbpeuTXqnwP5UQG2ihwf9R=w846-h846-s-no-gm|https://lh3.googleusercontent.com/pw/AP1GczPJZr_hY4Z5F7kLtwFiqlClMAAHizivNjKwEGLB5LKUO1_Qrix143cfI8FBAviJXazzPnfC4pwM9_eW5-x6WXnnCMOsahGoomf7MDukgpk7wBjZvuSoZSU_1GbHMbN6BiPymcJVb_YjMw3dVsjf8eEu=w846-h846-s-no-gm|https://lh3.googleusercontent.com/pw/AP1GczNFO3r11RUy_PDTXpQjYDV1OT6WFQqW4DoR6SewDTkg_qNyBB-CQUeoqTbGEULi_3HfDZAkdHHDD6_jNvpTX0Xg_4gl8JrEpJzH5uRsEkNXFUpVRyu8WAjoJYYocFc_H5rRjMoVEIi1bg9IX--K_UQn=w846-h846-s-no-gm,1
Celulares,Echo Show,EchoShow,Alexa Echo Show,https://lh3.googleusercontent.com/pw/AP1GczOggavbIG77TEyff-grZQTLlYUwgp086mPq51NrmoB3a9kYEtzEzPxkjPTu6htULcfBiYCGE_QyxQ-V6zsor4yfYhOiBDovWgN1wLqah5VAz_UY69fTtM64RQOzNWgMu45c3HX-r8jjUlRHBCpOYcTI=w564-h846-s-no-gm|https://lh3.googleusercontent.com/pw/AP1GczM_CnP3RU2_wl4W0QRKw3bmQmL1LhvalVSSYq0sxYakDGJkLU6saPIu02Q06YEFq5hfaDCDVI5Z9Tw76V-Vcs2URbeATyjK1c1Xz1rM5Tj8yThMuakAhgY9tmx9ELR3W0Qa9dlsHdkT5zDkhjFQa7OO=w580-h529-s-no-gm|https://lh3.googleusercontent.com/pw/AP1GczO8huYTRWX1_-4uQy_98eyb8mZTps0VHStkfHTQMW0GfhF7QGCGoA98Txm-JSMlzr6UIa7QQIWovYUQig_wqFu6zrfrjnbRxAdsaKc25AJRfkOrR0srsb01EAPxSgBQdHYoJgTZFnwXrXeCa_mxlbYS=w1505-h846-s-no-gm,1
Celulares,Echo Show 8,EchoShow8,Alexa Echo Show 8,https://lh3.googleusercontent.com/pw/AP1GczM28Hz1SUVF03Cwetqg_chqK9IBgjMu6iJrPNIkZZ1ZI9F-3ozAukGvPi_LKBqbpfZ0zNkRxdIrnGhvJJQh8YP2LO5pv6LZPow4XAYy9WxNsGelx9DFd_AqUlVvvIqxLGAyWZwQ9IcnLJcP_QTtouEx=w938-h846-s-no-gm,1
Celulares,Echo Spot,Echospot,Alexa Echo Spot,https://lh3.googleusercontent.com/pw/AP1GczMoAUQRfBUfmAJixg25jvM5akFR61Sch2lG93UpCwbUkO55tFQBL6CSw-NSjpeOs-B2wweEzGzfQRsaDVA5bZT2BYOsxCsV58RvGSVaqOfuPzytn6ns28Rzt-OP8elsQcpLpysWZeST4Jrv_kMYmnrS=w515-h515-s-no-gm|https://lh3.googleusercontent.com/pw/AP1GczPzoDdJmpF3tHsmZK-vUDKn2LtoJhdUs8GshOY8ywOt7RWC3ShLhDhfoAGErkDts2054eYYzBnUGndVpL8TVHuu2MY9e-IlRx8LSPvbLAbjEAJyWTB-xO1RLpStrLfzMnFaalsPkoSjUoOW6dmWghiQ=w1503-h846-s-no-gm,2
